Run,Beta1,Overlap,Blocksize,Checkpoint,Mean,Median,Std
experimental_run_50,0.5,0,256,Annealing_in_blocks,118.37270523034292,118.37270523034292,
experimental_run_50,0.5,0,256,collapsing outliers,175.51645306546587,175.51645306546587,
experimental_run_50,0.5,0,256,eliminating insignificant (purge),133.0148943540007,133.0148943540007,
experimental_run_50,0.5,0,256,final time and size,133.0148943540007,133.0148943540007,
experimental_run_50,0.5,0,256,further cooling,176.29650155871147,176.29650155871147,
experimental_run_50,0.5,0,256,global Annealing,148.84932455836508,148.84932455836508,
experimental_run_50,0.5,0,256,some more cooling,133.0148943540007,133.0148943540007,
experimental_run_50,0.5,0,256,thermalizing_after_loops,145.56459993072394,145.56459993072394,
experimental_run_50,0.5,0,256,thermalizing_between_loops,100.85936958780741,100.85936958780741,
experimental_run_50,0.5,0,512,Annealing_in_blocks,108.72702331961591,108.72702331961591,
experimental_run_50,0.5,0,512,collapsing outliers,175.2133058984911,175.2133058984911,
experimental_run_50,0.5,0,512,eliminating insignificant (purge),133.110768175583,133.110768175583,
experimental_run_50,0.5,0,512,final time and size,133.110768175583,133.110768175583,
experimental_run_50,0.5,0,512,further cooling,175.91117969821673,175.91117969821673,
experimental_run_50,0.5,0,512,global Annealing,145.809670781893,145.809670781893,
experimental_run_50,0.5,0,512,some more cooling,133.110768175583,133.110768175583,
experimental_run_50,0.5,0,512,thermalizing_after_loops,142.58813443072702,142.58813443072702,
experimental_run_50,0.5,0,512,thermalizing_between_loops,96.64026063100137,96.64026063100137,
experimental_run_50,0.5,0,1024,Annealing_in_blocks,98.02602230483271,98.02602230483271,
experimental_run_50,0.5,0,1024,collapsing outliers,173.76478540047313,173.76478540047313,
experimental_run_50,0.5,0,1024,eliminating insignificant (purge),132.54984792159513,132.54984792159513,
experimental_run_50,0.5,0,1024,final time and size,132.54984792159513,132.54984792159513,
experimental_run_50,0.5,0,1024,further cooling,174.39912132477187,174.39912132477187,
experimental_run_50,0.5,0,1024,global Annealing,139.7475498479216,139.7475498479216,
experimental_run_50,0.5,0,1024,some more cooling,132.54984792159513,132.54984792159513,
experimental_run_50,0.5,0,1024,thermalizing_after_loops,136.62318350794186,136.62318350794186,
experimental_run_50,0.5,0,1024,thermalizing_between_loops,90.54984792159513,90.54984792159513,
experimental_run_50,0.5,0,2048,Annealing_in_blocks,84.73973532405836,84.73973532405836,
experimental_run_50,0.5,0,2048,collapsing outliers,171.83271123176112,171.83271123176112,
experimental_run_50,0.5,0,2048,eliminating insignificant (purge),132.12792670512385,132.12792670512385,
experimental_run_50,0.5,0,2048,final time and size,132.12792670512385,132.12792670512385,
experimental_run_50,0.5,0,2048,further cooling,172.4200882253139,172.4200882253139,
experimental_run_50,0.5,0,2048,global Annealing,127.24838819138107,127.24838819138107,
experimental_run_50,0.5,0,2048,some more cooling,132.12792670512385,132.12792670512385,
experimental_run_50,0.5,0,2048,thermalizing_after_loops,124.49032914828639,124.49032914828639,
experimental_run_50,0.5,0,2048,thermalizing_between_loops,80.5931455717679,80.5931455717679,
experimental_run_50,0.5,10,256,Annealing_in_blocks,131.91723666210672,131.91723666210672,
experimental_run_50,0.5,10,256,collapsing outliers,176.8840629274966,176.8840629274966,
experimental_run_50,0.5,10,256,eliminating insignificant (purge),133.01436388508893,133.01436388508893,
experimental_run_50,0.5,10,256,final time and size,133.01436388508893,133.01436388508893,
experimental_run_50,0.5,10,256,further cooling,177.6857045143639,177.6857045143639,
experimental_run_50,0.5,10,256,global Annealing,151.57626538987688,151.57626538987688,
experimental_run_50,0.5,10,256,some more cooling,133.01436388508893,133.01436388508893,
experimental_run_50,0.5,10,256,thermalizing_after_loops,148.26573187414502,148.26573187414502,
experimental_run_50,0.5,10,256,thermalizing_between_loops,105.28009575923393,105.28009575923393,
experimental_run_50,0.5,10,512,Annealing_in_blocks,121.21563899414399,121.21563899414399,
experimental_run_50,0.5,10,512,collapsing outliers,178.7223561832587,178.7223561832587,
experimental_run_50,0.5,10,512,eliminating insignificant (purge),133.08473992421634,133.08473992421634,
experimental_run_50,0.5,10,512,final time and size,133.08473992421634,133.08473992421634,
experimental_run_50,0.5,10,512,further cooling,179.4746813641061,179.4746813641061,
experimental_run_50,0.5,10,512,global Annealing,151.14640027557698,151.14640027557698,
experimental_run_50,0.5,10,512,some more cooling,133.08473992421634,133.08473992421634,
experimental_run_50,0.5,10,512,thermalizing_after_loops,147.89252497416464,147.89252497416464,
experimental_run_50,0.5,10,512,thermalizing_between_loops,103.0985187736824,103.0985187736824,
experimental_run_50,0.5,10,1024,Annealing_in_blocks,109.5425101214575,109.5425101214575,
experimental_run_50,0.5,10,1024,collapsing outliers,179.84716599190284,179.84716599190284,
experimental_run_50,0.5,10,1024,eliminating insignificant (purge),132.7638326585695,132.7638326585695,
experimental_run_50,0.5,10,1024,final time and size,132.7638326585695,132.7638326585695,
experimental_run_50,0.5,10,1024,further cooling,180.51990553306342,180.51990553306342,
experimental_run_50,0.5,10,1024,global Annealing,148.76417004048582,148.76417004048582,
experimental_run_50,0.5,10,1024,some more cooling,132.7638326585695,132.7638326585695,
experimental_run_50,0.5,10,1024,thermalizing_after_loops,145.58468286099864,145.58468286099864,
experimental_run_50,0.5,10,1024,thermalizing_between_loops,99.98110661268556,99.98110661268556,
experimental_run_50,0.5,10,2048,Annealing_in_blocks,97.50649350649351,97.50649350649351,
experimental_run_50,0.5,10,2048,collapsing outliers,178.16678058783322,178.16678058783322,
experimental_run_50,0.5,10,2048,eliminating insignificant (purge),132.5727956254272,132.5727956254272,
experimental_run_50,0.5,10,2048,final time and size,132.5727956254272,132.5727956254272,
experimental_run_50,0.5,10,2048,further cooling,178.8045112781955,178.8045112781955,
experimental_run_50,0.5,10,2048,global Annealing,140.6602870813397,140.6602870813397,
experimental_run_50,0.5,10,2048,some more cooling,132.5727956254272,132.5727956254272,
experimental_run_50,0.5,10,2048,thermalizing_after_loops,137.69036226930965,137.69036226930965,
experimental_run_50,0.5,10,2048,thermalizing_between_loops,92.6725905673274,92.6725905673274,
experimental_run_50,0.5,20,256,Annealing_in_blocks,148.862678450034,148.862678450034,
experimental_run_50,0.5,20,256,collapsing outliers,185.24337185588035,185.24337185588035,
experimental_run_50,0.5,20,256,eliminating insignificant (purge),133.15023793337866,133.15023793337866,
experimental_run_50,0.5,20,256,final time and size,133.15023793337866,133.15023793337866,
experimental_run_50,0.5,20,256,further cooling,186.08429639700884,186.08429639700884,
experimental_run_50,0.5,20,256,global Annealing,161.22603670972128,161.22603670972128,
experimental_run_50,0.5,20,256,some more cooling,133.15023793337866,133.15023793337866,
experimental_run_50,0.5,20,256,thermalizing_after_loops,158.01087695445275,158.01087695445275,
experimental_run_50,0.5,20,256,thermalizing_between_loops,116.76580557443916,116.76580557443916,
experimental_run_50,0.5,20,512,Annealing_in_blocks,137.0395053246307,137.0395053246307,
experimental_run_50,0.5,20,512,collapsing outliers,192.01374098248024,192.01374098248024,
experimental_run_50,0.5,20,512,eliminating insignificant (purge),133.17176228100308,133.17176228100308,
experimental_run_50,0.5,20,512,final time and size,133.17176228100308,133.17176228100308,
experimental_run_50,0.5,20,512,further cooling,192.80178632772243,192.80178632772243,
experimental_run_50,0.5,20,512,global Annealing,165.8450704225352,165.8450704225352,
experimental_run_50,0.5,20,512,some more cooling,133.17176228100308,133.17176228100308,
experimental_run_50,0.5,20,512,thermalizing_after_loops,162.67914805908623,162.67914805908623,
experimental_run_50,0.5,20,512,thermalizing_between_loops,119.30642390930952,119.30642390930952,
experimental_run_50,0.5,20,1024,Annealing_in_blocks,124.83916554508748,124.83916554508748,
experimental_run_50,0.5,20,1024,collapsing outliers,192.62752355316286,192.62752355316286,
experimental_run_50,0.5,20,1024,eliminating insignificant (purge),133.33310901749664,133.33310901749664,
experimental_run_50,0.5,20,1024,final time and size,133.33310901749664,133.33310901749664,
experimental_run_50,0.5,20,1024,further cooling,193.35464333781965,193.35464333781965,
experimental_run_50,0.5,20,1024,global Annealing,163.66049798115748,163.66049798115748,
experimental_run_50,0.5,20,1024,some more cooling,133.33310901749664,133.33310901749664,
experimental_run_50,0.5,20,1024,thermalizing_after_loops,160.4491924629879,160.4491924629879,
experimental_run_50,0.5,20,1024,thermalizing_between_loops,115.25033647375504,115.25033647375504,
experimental_run_50,0.5,20,2048,Annealing_in_blocks,110.23305227655986,110.23305227655986,
experimental_run_50,0.5,20,2048,collapsing outliers,187.12209106239462,187.12209106239462,
experimental_run_50,0.5,20,2048,eliminating insignificant (purge),132.83473861720068,132.83473861720068,
experimental_run_50,0.5,20,2048,final time and size,132.83473861720068,132.83473861720068,
experimental_run_50,0.5,20,2048,further cooling,187.84047217537943,187.84047217537943,
experimental_run_50,0.5,20,2048,global Annealing,154.1096121416526,154.1096121416526,
experimental_run_50,0.5,20,2048,some more cooling,132.83473861720068,132.83473861720068,
experimental_run_50,0.5,20,2048,thermalizing_after_loops,150.75817875210794,150.75817875210794,
experimental_run_50,0.5,20,2048,thermalizing_between_loops,104.58010118043845,104.58010118043845,
experimental_run_50,0.5,30,256,Annealing_in_blocks,170.94054054054055,170.94054054054055,
experimental_run_50,0.5,30,256,collapsing outliers,202.3993243243243,202.3993243243243,
experimental_run_50,0.5,30,256,eliminating insignificant (purge),133.55641891891892,133.55641891891892,
experimental_run_50,0.5,30,256,final time and size,133.55641891891892,133.55641891891892,
experimental_run_50,0.5,30,256,further cooling,203.25912162162163,203.25912162162163,
experimental_run_50,0.5,30,256,global Annealing,179.05743243243242,179.05743243243242,
experimental_run_50,0.5,30,256,some more cooling,133.55641891891892,133.55641891891892,
experimental_run_50,0.5,30,256,thermalizing_after_loops,176.03175675675675,176.03175675675675,
experimental_run_50,0.5,30,256,thermalizing_between_loops,136.43986486486486,136.43986486486486,
experimental_run_50,0.5,30,512,Annealing_in_blocks,157.1051409618574,157.1051409618574,
experimental_run_50,0.5,30,512,collapsing outliers,210.1893864013267,210.1893864013267,
experimental_run_50,0.5,30,512,eliminating insignificant (purge),133.42719734660034,133.42719734660034,
experimental_run_50,0.5,30,512,final time and size,133.42719734660034,133.42719734660034,
experimental_run_50,0.5,30,512,further cooling,211.00464344941958,211.00464344941958,
experimental_run_50,0.5,30,512,global Annealing,184.47661691542288,184.47661691542288,
experimental_run_50,0.5,30,512,some more cooling,133.42719734660034,133.42719734660034,
experimental_run_50,0.5,30,512,thermalizing_after_loops,181.5525704809287,181.5525704809287,
experimental_run_50,0.5,30,512,thermalizing_between_loops,139.26865671641792,139.26865671641792,
experimental_run_50,0.5,30,1024,Annealing_in_blocks,143.18074656188605,143.18074656188605,
experimental_run_50,0.5,30,1024,collapsing outliers,208.29567779960706,208.29567779960706,
experimental_run_50,0.5,30,1024,eliminating insignificant (purge),133.36967910936477,133.36967910936477,
experimental_run_50,0.5,30,1024,final time and size,133.36967910936477,133.36967910936477,
experimental_run_50,0.5,30,1024,further cooling,209.09266535690898,209.09266535690898,
experimental_run_50,0.5,30,1024,global Annealing,181.15913555992142,181.15913555992142,
experimental_run_50,0.5,30,1024,some more cooling,133.36967910936477,133.36967910936477,
experimental_run_50,0.5,30,1024,thermalizing_after_loops,177.71545514079895,177.71545514079895,
experimental_run_50,0.5,30,1024,thermalizing_between_loops,131.87360838244925,131.87360838244925,
experimental_run_50,0.5,30,2048,Annealing_in_blocks,127.50396825396825,127.50396825396825,
experimental_run_50,0.5,30,2048,collapsing outliers,200.60978835978835,200.60978835978835,
experimental_run_50,0.5,30,2048,eliminating insignificant (purge),133.39484126984127,133.39484126984127,
experimental_run_50,0.5,30,2048,final time and size,133.39484126984127,133.39484126984127,
experimental_run_50,0.5,30,2048,further cooling,201.37103174603175,201.37103174603175,
experimental_run_50,0.5,30,2048,global Annealing,171.96924603174602,171.96924603174602,
