Run,Beta1,EventType,Overlap,Blocksize,Checkpoint,Mean,Median,Std
experimental_run_58,0.1,SToMuMu,30,256,further cooling,200.7720430107527,200.0,21.223656925092055
experimental_run_58,0.1,SToMuMu,30,256,global Annealing,177.46021505376345,178.0,18.941807094048208
experimental_run_58,0.1,SToMuMu,30,256,some more cooling,132.35698924731182,131.0,13.018615632424131
experimental_run_58,0.1,SToMuMu,30,256,thermalizing_after_loops,174.3741935483871,175.0,18.392095045915124
experimental_run_58,0.1,SToMuMu,30,256,thermalizing_between_loops,135.51397849462364,135.0,13.73252487801856
experimental_run_58,0.1,SToMuMu,30,1024,Annealing_in_blocks,143.07046070460706,142.0,17.788838909461116
experimental_run_58,0.1,SToMuMu,30,1024,collapsing outliers,207.05555555555554,206.5,23.201515946770638
experimental_run_58,0.1,SToMuMu,30,1024,eliminating insignificant (purge),132.920054200542,132.0,13.523399651145507
experimental_run_58,0.1,SToMuMu,30,1024,final time and size,132.920054200542,132.0,13.523399651145507
experimental_run_58,0.1,SToMuMu,30,1024,further cooling,207.85365853658536,207.0,23.353870125233136
experimental_run_58,0.1,SToMuMu,30,1024,global Annealing,180.22086720867208,180.0,20.546436093719663
experimental_run_58,0.1,SToMuMu,30,1024,some more cooling,132.920054200542,132.0,13.523399651145507
experimental_run_58,0.1,SToMuMu,30,1024,thermalizing_after_loops,176.8821138211382,176.0,20.03222451111094
experimental_run_58,0.1,SToMuMu,30,1024,thermalizing_between_loops,131.70731707317074,131.5,15.551672546044133
experimental_run_58,0.1,TTbar,0,256,Annealing_in_blocks,118.99397287795078,119.0,13.456610482049161
experimental_run_58,0.1,TTbar,0,256,collapsing outliers,175.95781014565546,174.0,20.915869477651402
experimental_run_58,0.1,TTbar,0,256,eliminating insignificant (purge),133.1657458563536,132.0,13.789138976100439
experimental_run_58,0.1,TTbar,0,256,final time and size,133.1657458563536,132.0,13.789138976100439
experimental_run_58,0.1,TTbar,0,256,further cooling,176.70467101958815,175.0,20.99229754124259
experimental_run_58,0.1,TTbar,0,256,global Annealing,149.25364138623806,148.0,16.36285951192547
experimental_run_58,0.1,TTbar,0,256,some more cooling,133.1657458563536,132.0,13.789138976100439
experimental_run_58,0.1,TTbar,0,256,thermalizing_after_loops,146.01305876444,145.0,15.919168630474715
experimental_run_58,0.1,TTbar,0,256,thermalizing_between_loops,101.35560020090406,101.0,10.431452127885262
experimental_run_58,0.1,TTbar,0,1024,Annealing_in_blocks,98.36066398390342,98.0,13.266317144199402
experimental_run_58,0.1,TTbar,0,1024,collapsing outliers,174.24195171026156,173.0,20.848781175670744
experimental_run_58,0.1,TTbar,0,1024,eliminating insignificant (purge),132.75251509054326,132.0,13.805432025454149
experimental_run_58,0.1,TTbar,0,1024,final time and size,132.75251509054326,132.0,13.805432025454149
experimental_run_58,0.1,TTbar,0,1024,further cooling,174.8817907444668,174.0,20.95398679414433
experimental_run_58,0.1,TTbar,0,1024,global Annealing,139.8043259557344,139.0,17.12170947887516
experimental_run_58,0.1,TTbar,0,1024,some more cooling,132.75251509054326,132.0,13.805432025454149
experimental_run_58,0.1,TTbar,0,1024,thermalizing_after_loops,136.64839034205232,136.0,16.614387093866213
experimental_run_58,0.1,TTbar,0,1024,thermalizing_between_loops,90.5930583501006,91.0,11.439338799586803
experimental_run_58,0.1,TTbar,30,256,Annealing_in_blocks,171.35857572718155,170.0,19.362190984404144
experimental_run_58,0.1,TTbar,30,256,collapsing outliers,202.70461384152458,202.0,22.237452051312005
experimental_run_58,0.1,TTbar,30,256,eliminating insignificant (purge),133.5050150451354,133.0,13.790789516521011
experimental_run_58,0.1,TTbar,30,256,final time and size,133.5050150451354,133.0,13.790789516521011
experimental_run_58,0.1,TTbar,30,256,further cooling,203.53660982948847,203.0,22.349949319007237
experimental_run_58,0.1,TTbar,30,256,global Annealing,179.43530591775325,178.0,19.367911172163097
experimental_run_58,0.1,TTbar,30,256,some more cooling,133.5050150451354,133.0,13.790789516521011
experimental_run_58,0.1,TTbar,30,256,thermalizing_after_loops,176.358074222668,175.0,19.053577178947442
experimental_run_58,0.1,TTbar,30,256,thermalizing_between_loops,136.8470411233701,136.0,14.683862883227329
